Timestamp,PM2.5,PM10,AQI
0,null,null,null
1,null,null,null
2,null,null,null
3,null,null,null
4,null,null,null
5,27.9,68.4,84.0
6,23.1,61.4,74.0
7,null,null,null
8,null,null,null
9,null,null,null
10,null,null,null
11,null,null,null
12,null,null,null
13,null,null,null
14,null,null,null
15,null,null,null
16,60.9,124.9,154.0
17,38.3,78.8,108.0
18,42.6,89.2,118.0
19,94.4,214.4,171.0
20,49.7,108.5,136.0
21,null,null,null
22,null,null,null
23,null,null,null
24,49.7,108.5,136.0
